epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.7828,0.88496,3.09418,0.99659,0.00333,1,0.98999,0.80679,0.57101,3.23517,0.81161,0.00012,0.00012,0.00012
2,37.5823,0.86611,1.76758,0.96014,0.99674,0.92857,0.99324,0.76481,0.77605,2.86013,0.83148,0.000257426,0.000257426,0.000257426
3,49.9889,0.8332,1.5445,0.95059,0.88057,0.26353,0.9532,0.70357,0.88849,3.20452,0.87236,0.00039208,0.00039208,0.00039208
4,62.4334,0.80252,1.38767,0.95973,1,0.89376,0.9936,0.80268,0.71466,3.28511,0.83232,0.000523962,0.000523962,0.000523962
5,74.05,0.86261,1.31655,0.97355,0.00333,1,0.89178,0.68178,0.73857,3.42817,0.87935,0.000653072,0.000653072,0.000653072
6,86.4982,0.84326,1.19413,0.96057,1,0.36511,0.89176,0.68193,0.6963,3.16529,0.86056,0.00077941,0.00077941,0.00077941
7,98.8924,0.8422,1.1614,0.97389,0.87524,0.75165,0.88411,0.64711,0.81746,2.91873,0.89794,0.000902976,0.000902976,0.000902976
8,110.592,0.83559,1.13845,0.98328,0.94898,0.33236,0.86491,0.7033,0.7447,2.95397,0.90372,0.00102377,0.00102377,0.00102377
9,122.267,0.79242,1.04353,0.97621,1,0.24708,0.91022,0.72871,0.72101,2.86676,0.92681,0.00114179,0.00114179,0.00114179
10,135.143,0.80056,1.00548,0.98319,0.59915,0.42709,0.44778,0.3626,0.94689,3.02826,1.09794,0.00125704,0.00125704,0.00125704
11,148.165,0.79337,0.98538,0.97005,0.14257,0.30357,0.09621,0.0707,1.12707,3.10453,1.23995,0.00136952,0.00136952,0.00136952
12,161.468,0.83888,0.9789,1.00545,1,0.82194,0.90732,0.71038,0.92087,2.17174,1.02144,0.00147923,0.00147923,0.00147923
13,175.209,0.83002,0.92037,0.9873,0.95794,0.83929,0.9398,0.71721,0.90896,1.63023,0.9844,0.00158616,0.00158616,0.00158616
14,189.344,0.85591,0.9139,1.01098,1,0.84169,0.91676,0.75043,0.80355,1.5145,0.97346,0.00169032,0.00169032,0.00169032
15,203.855,0.78373,0.84247,0.99385,0.48775,0.26786,0.32839,0.24222,1.26796,2.7316,1.31572,0.0017228,0.0017228,0.0017228
16,218.52,0.78809,0.84474,0.98588,0.93051,0.46429,0.57531,0.41173,1.15157,2.5398,1.18064,0.001703,0.001703,0.001703
17,232.891,0.80955,0.80541,0.98988,0.94797,0.9762,0.98743,0.73858,0.79863,1.10346,0.98595,0.0016832,0.0016832,0.0016832
18,248.776,0.80199,0.76426,1.00239,0.6809,0.76786,0.66783,0.49182,0.85914,1.75299,1.03629,0.0016634,0.0016634,0.0016634
19,264.734,0.73749,0.70297,0.98077,0.88131,0.82143,0.94409,0.73426,0.80508,1.0523,0.98755,0.0016436,0.0016436,0.0016436
20,280.235,0.74506,0.70183,0.95531,0.92961,0.85714,0.92655,0.72973,0.80308,1.55279,0.95289,0.0016238,0.0016238,0.0016238
21,295.136,0.82418,0.73759,1.00051,0.6595,0.83929,0.80711,0.64679,0.68166,1.54241,0.90012,0.001604,0.001604,0.001604
22,315.197,0.79157,0.67606,0.98805,0.94844,0.85714,0.93439,0.75678,0.67707,1.20095,0.90258,0.0015842,0.0015842,0.0015842
23,333.631,0.7657,0.68766,0.99885,0.91061,0.90958,0.94992,0.78438,0.73074,1.25246,0.92503,0.0015644,0.0015644,0.0015644
24,353.04,0.75053,0.68159,0.98956,0.9443,0.90824,0.96678,0.80262,0.62991,1.19431,0.90824,0.0015446,0.0015446,0.0015446
25,372.353,0.75333,0.64262,0.97375,0.98226,0.98888,0.99482,0.84672,0.64495,0.74246,0.91267,0.0015248,0.0015248,0.0015248
26,389.989,0.74357,0.63595,0.961,0.99854,1,0.995,0.82318,0.66057,0.67428,0.91835,0.001505,0.001505,0.001505
27,408.674,0.72128,0.59054,0.97033,1,0.98059,0.99466,0.85928,0.59678,0.59173,0.90414,0.0014852,0.0014852,0.0014852
28,427.344,0.72834,0.5869,0.95128,1,0.76614,0.7657,0.63384,0.60358,0.55413,0.90106,0.0014654,0.0014654,0.0014654
29,444.809,0.75813,0.58823,0.98177,0.99396,0.98214,0.99449,0.81836,0.71614,0.56534,0.9244,0.0014456,0.0014456,0.0014456
30,463.168,0.68895,0.5404,0.95189,0.99627,0.98214,0.99482,0.85121,0.64324,0.54566,0.90816,0.0014258,0.0014258,0.0014258
31,482.262,0.75063,0.58172,0.99988,0.97598,0.89286,0.89491,0.76022,0.62069,0.548,0.89578,0.001406,0.001406,0.001406
32,501.344,0.70628,0.53908,0.94696,0.99818,0.76786,0.76569,0.65025,0.61393,0.52851,0.90708,0.0013862,0.0013862,0.0013862
33,523.717,0.73764,0.57206,0.98657,0.99643,0.44643,0.44722,0.37337,0.62183,0.49017,0.91896,0.0013664,0.0013664,0.0013664
34,547.713,0.65675,0.50087,0.91148,0.99699,0.5,0.49773,0.42888,0.59302,0.51032,0.91284,0.0013466,0.0013466,0.0013466
35,567.941,0.69558,0.53831,0.94713,0.99809,0.66071,0.66628,0.57182,0.63197,0.47175,0.91216,0.0013268,0.0013268,0.0013268
36,588.676,0.69612,0.48915,0.95649,0.99737,0.69643,0.69659,0.58592,0.61466,0.47717,0.89993,0.001307,0.001307,0.001307
37,610.102,0.66815,0.49253,0.92291,0.99733,0.44643,0.44967,0.3799,0.56962,0.45635,0.88598,0.0012872,0.0012872,0.0012872
38,632.51,0.67506,0.49182,0.94464,0.99502,0.57143,0.58094,0.49099,0.5537,0.5017,0.86517,0.0012674,0.0012674,0.0012674
39,656.205,0.65896,0.49546,0.94351,0.99531,1,0.995,0.8653,0.6021,0.51404,0.89143,0.0012476,0.0012476,0.0012476
40,676.154,0.7138,0.51443,0.96538,0.99567,1,0.995,0.86588,0.55859,0.43148,0.87957,0.0012278,0.0012278,0.0012278
41,694.788,0.68281,0.49535,0.95421,0.99874,1,0.995,0.86771,0.58008,0.43912,0.88987,0.001208,0.001208,0.001208
42,713.635,0.67191,0.47358,0.94276,0.99862,1,0.995,0.86085,0.59177,0.42112,0.90091,0.0011882,0.0011882,0.0011882
43,731.164,0.67858,0.46438,0.9421,0.99853,1,0.995,0.85808,0.62219,0.42354,0.90711,0.0011684,0.0011684,0.0011684
44,748.339,0.68154,0.46894,0.9336,0.99785,1,0.995,0.86738,0.58941,0.42958,0.88677,0.0011486,0.0011486,0.0011486
45,763.912,0.65892,0.4581,0.93882,0.9973,1,0.995,0.8584,0.58986,0.41434,0.88484,0.0011288,0.0011288,0.0011288
46,781.455,0.65173,0.45725,0.93386,0.99816,1,0.995,0.86341,0.59283,0.39295,0.88547,0.001109,0.001109,0.001109
47,797.387,0.64981,0.46438,0.95217,0.9989,1,0.995,0.87754,0.54837,0.37586,0.86826,0.0010892,0.0010892,0.0010892
48,819.716,0.66608,0.46515,0.94664,0.99877,1,0.995,0.8766,0.57364,0.37389,0.87588,0.0010694,0.0010694,0.0010694
49,835.088,0.64558,0.44077,0.91365,0.99897,1,0.995,0.87407,0.58127,0.37406,0.87845,0.0010496,0.0010496,0.0010496
50,851.674,0.66143,0.46176,0.95384,0.99887,1,0.995,0.86206,0.60893,0.37878,0.88408,0.0010298,0.0010298,0.0010298
51,869.437,0.64574,0.43389,0.92037,0.99836,1,0.995,0.8631,0.5459,0.37122,0.87079,0.00101,0.00101,0.00101
52,885.288,0.65732,0.43995,0.93483,0.9979,1,0.995,0.88344,0.54886,0.35698,0.87698,0.0009902,0.0009902,0.0009902
53,899.437,0.64595,0.43659,0.93019,0.99888,1,0.995,0.88139,0.56315,0.36863,0.88656,0.0009704,0.0009704,0.0009704
54,914.583,0.611,0.4155,0.91257,0.99898,1,0.995,0.88153,0.55096,0.3538,0.87486,0.0009506,0.0009506,0.0009506
