epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.20982,0.98661,3.48626,1.03859,0.00333,1,0.70565,0.49668,0.73054,3.2219,0.87001,0.00012,0.00012,0.00012
2,6.46376,0.87489,2.11175,0.94924,1,0.68922,0.98687,0.81726,0.65327,2.76041,0.82419,0.000257426,0.000257426,0.000257426
3,8.616,0.82051,1.41214,0.93688,0.70724,0.94643,0.96329,0.75311,0.68704,3.06127,0.87127,0.00039208,0.00039208,0.00039208
4,10.716,0.82861,1.29783,0.96546,0.00333,1,0.93348,0.74165,0.74914,3.17869,0.89487,0.000523962,0.000523962,0.000523962
5,12.8807,0.81329,1.27815,0.95233,0.00333,1,0.7497,0.44727,0.75763,3.53778,0.99036,0.000653072,0.000653072,0.000653072
6,14.9912,0.84284,1.17419,0.95864,0.00304,0.91071,0.47122,0.30833,0.98544,3.61261,1.11289,0.00077941,0.00077941,0.00077941
7,17.0751,0.8559,1.223,0.98045,0.00333,1,0.51251,0.39941,0.85458,3.32373,0.99349,0.000902976,0.000902976,0.000902976
8,19.0885,0.82489,1.14387,0.99681,1,0.25137,0.89683,0.70829,0.71675,2.82256,0.90556,0.00102377,0.00102377,0.00102377
9,21.0846,0.81767,1.03849,0.97003,0.88998,0.57794,0.82171,0.64815,0.7526,2.54498,0.9042,0.00114179,0.00114179,0.00114179
10,23.1598,0.80845,1.02911,1.00479,0.9627,0.92193,0.98784,0.76928,0.77387,1.92171,0.94111,0.00125704,0.00125704,0.00125704
11,25.1678,0.79998,1.01633,0.97816,0.8793,0.91062,0.88598,0.65603,0.81117,2.07416,0.9685,0.00136952,0.00136952,0.00136952
12,27.1828,0.81926,0.93505,0.99397,0.93792,0.89286,0.97339,0.76544,0.74249,2.07566,0.94575,0.00147923,0.00147923,0.00147923
13,29.1555,0.84188,0.95981,0.99667,0.87591,0.8824,0.95705,0.7664,0.74941,1.76811,0.95628,0.00158616,0.00158616,0.00158616
14,31.1967,0.82458,0.91438,1.01047,0.97921,0.98214,0.99418,0.8203,0.69584,1.33546,0.91169,0.00169032,0.00169032,0.00169032
15,33.1891,0.77313,0.85273,0.95246,0.46745,0.375,0.36249,0.21441,1.03709,2.51401,1.05453,0.0017228,0.0017228,0.0017228
16,35.2429,0.79153,0.81186,0.94591,0.44831,0.21429,0.19251,0.14658,1.07096,3.56714,1.11199,0.001703,0.001703,0.001703
17,37.2609,0.79675,0.82072,0.97263,0.9026,0.78571,0.86513,0.65108,0.82449,1.26188,0.99836,0.0016832,0.0016832,0.0016832
18,39.3008,0.83161,0.80939,1.00144,0.86619,0.76786,0.86951,0.63357,0.88096,1.6673,1.07415,0.0016634,0.0016634,0.0016634
19,41.2756,0.78933,0.76202,0.99833,0.98111,0.92746,0.9899,0.80099,0.70901,0.89421,1.0101,0.0016436,0.0016436,0.0016436
20,43.3077,0.76174,0.71375,0.96798,0.99816,0.98214,0.99389,0.81746,0.70908,0.84625,0.96966,0.0016238,0.0016238,0.0016238
21,45.3832,0.73993,0.66122,0.95948,0.97344,0.94643,0.98698,0.81591,0.66674,1.30305,0.94233,0.001604,0.001604,0.001604
22,47.5024,0.76655,0.67549,0.96486,0.96549,0.99907,0.99069,0.81558,0.67722,0.76177,0.92725,0.0015842,0.0015842,0.0015842
23,49.522,0.76966,0.65215,0.96912,0.97889,0.98214,0.99341,0.82152,0.7036,0.71276,0.96105,0.0015644,0.0015644,0.0015644
24,51.553,0.74397,0.63419,0.97516,0.99848,1,0.995,0.84908,0.62219,0.66281,0.90452,0.0015446,0.0015446,0.0015446
25,53.613,0.70761,0.57918,0.94688,0.99588,1,0.995,0.81722,0.7261,0.75837,0.9953,0.0015248,0.0015248,0.0015248
26,55.6653,0.75314,0.60091,0.97641,0.97023,1,0.99482,0.84789,0.63737,0.94897,0.90637,0.001505,0.001505,0.001505
27,57.6953,0.75539,0.62044,0.98408,0.8969,0.93215,0.96508,0.824,0.59898,0.98697,0.87377,0.0014852,0.0014852,0.0014852
28,59.7314,0.69434,0.57247,0.9531,0.98226,0.98881,0.99482,0.83916,0.64018,0.48233,0.90865,0.0014654,0.0014654,0.0014654
29,61.7052,0.74729,0.59285,0.96877,0.99716,1,0.995,0.85677,0.62504,0.53164,0.92117,0.0014456,0.0014456,0.0014456
30,63.6868,0.74303,0.57692,0.95636,1,0.99565,0.995,0.87259,0.58553,0.4765,0.90512,0.0014258,0.0014258,0.0014258
31,65.7232,0.70285,0.57399,0.94896,0.99552,1,0.995,0.83871,0.65109,0.50841,0.92621,0.001406,0.001406,0.001406
32,67.7855,0.68742,0.55909,0.94611,0.98228,0.99,0.99482,0.83901,0.64301,0.54057,0.91939,0.0013862,0.0013862,0.0013862
33,69.8129,0.728,0.54886,0.96907,1,0.99862,0.995,0.83358,0.64759,0.50786,0.92251,0.0013664,0.0013664,0.0013664
34,71.8385,0.67454,0.50937,0.92877,0.98001,1,0.99482,0.8167,0.65944,0.496,0.93779,0.0013466,0.0013466,0.0013466
35,73.8197,0.74235,0.55724,0.97673,1,0.996,0.995,0.84768,0.59673,0.46592,0.89788,0.0013268,0.0013268,0.0013268
36,75.8312,0.69314,0.53194,0.94091,0.99081,1,0.995,0.87021,0.54689,0.46493,0.86631,0.001307,0.001307,0.001307
37,77.8758,0.68641,0.51268,0.97248,0.99606,1,0.995,0.85964,0.58104,0.42507,0.87414,0.0012872,0.0012872,0.0012872
38,79.9258,0.65647,0.49405,0.94133,0.9996,1,0.995,0.84437,0.65803,0.4247,0.90472,0.0012674,0.0012674,0.0012674
39,81.9166,0.70732,0.50917,0.95994,0.99748,1,0.995,0.84891,0.63802,0.39234,0.89887,0.0012476,0.0012476,0.0012476
40,83.94,0.6733,0.5071,0.94965,0.99853,1,0.995,0.85941,0.59909,0.37987,0.88715,0.0012278,0.0012278,0.0012278
41,85.8985,0.6681,0.51486,0.93628,0.99883,1,0.995,0.83383,0.65179,0.40758,0.91098,0.001208,0.001208,0.001208
42,87.9398,0.67751,0.50176,0.9387,0.97973,1,0.99447,0.8537,0.60138,0.39813,0.89051,0.0011882,0.0011882,0.0011882
43,89.9751,0.67071,0.48777,0.94469,0.98206,0.9774,0.99293,0.8324,0.63569,0.43966,0.9037,0.0011684,0.0011684,0.0011684
44,92.03,0.64939,0.4855,0.93126,0.9968,0.98214,0.99257,0.83927,0.61417,0.45459,0.90215,0.0011486,0.0011486,0.0011486
45,94.0202,0.64604,0.47259,0.92673,1,0.94628,0.9846,0.84114,0.58329,0.49337,0.89253,0.0011288,0.0011288,0.0011288
46,96.0186,0.68348,0.49974,0.96166,0.99562,0.98214,0.99466,0.86161,0.58892,0.39945,0.89248,0.001109,0.001109,0.001109
47,98.0462,0.67012,0.49243,0.94335,0.99817,1,0.995,0.86657,0.56147,0.34913,0.88332,0.0010892,0.0010892,0.0010892
48,100.101,0.67674,0.46813,0.95096,0.99885,1,0.995,0.87451,0.57575,0.32699,0.88367,0.0010694,0.0010694,0.0010694
49,102.117,0.63376,0.44876,0.93923,0.99894,1,0.995,0.85803,0.57844,0.36179,0.89427,0.0010496,0.0010496,0.0010496
50,104.113,0.65074,0.44317,0.93998,0.99843,1,0.995,0.87408,0.56722,0.34203,0.87912,0.0010298,0.0010298,0.0010298
51,106.08,0.66106,0.44773,0.94891,0.99832,1,0.995,0.86475,0.55116,0.32785,0.87408,0.00101,0.00101,0.00101
52,108.066,0.64706,0.44315,0.91753,0.99799,1,0.995,0.86477,0.57719,0.34533,0.88613,0.0009902,0.0009902,0.0009902
